Timestamp,What is the name of your university? ,  What type of university are you enrolled in?  ,  What is your field of study?  ,  What is your current academic year?  ,  What is your gender?  ,  What is your age group?  ,What is the brand of your current mobile phone?  ,What is the model of your current mobile phone?  ,When did you purchase your current mobile device?  ,Was the device newly launched at the time of your purchase?  ,Was the device within 6 months of its global release when you bought it?  ,How much did you pay for the device? (in LKR)  ,Where did you purchase the device from?  ,Were you aware of the hardware specifications before buying your device?  ,Did you compare hardware specs with other models before making the purchase?  ,How would you rate the up-to-dateness of the hardware when you purchased the phone?  ,"How would you rate your deviceâ€™s performance over time (speed, battery, reliability)?  ",Did the timing of the device launch influence your buying decision?  ,How important was it to you to get a newly launched or recent model?  ,Do you believe you would be more satisfied today if you had waited for a newer model?  ,How important was the brand when choosing your current phone?  ,How satisfied are you with the brand of your phone?  ,Would you consider purchasing the same brand again in the future?  ,Was the device price within your planned budget?  ,Do you feel your device offered good value for money?  ,"Considering its features and performance, was the price justified?  ","Overall, how satisfied are you with your current mobile device?  ",How well has your device met your expectations since purchase?  ,"How reliable has your phone been during daily use? (e.g., performance, battery)  ","Have you experienced significant issues (e.g., heating, lag, battery drop)?  ","After at least 6 months of use, how satisfied are you with the device's performance?  ",Would you choose the same device again if given the chance?  ,How emotionally attached are you to your current phone?  ,Do you believe your device is still competitive compared to newer models?  ,How likely are you to recommend this phone to others?  ,What is the main reason for your satisfaction or dissatisfaction with your device?  
10/7/2025 22:27,University of Kelaniya,State University,Computer Science & Information Technology,4th Year,Female,24â€“26,Xiaomi,Redmi Note 10 Pro,More than 2 years ago,Not Sure,Not Sure,55000,Authorized retail shop,Somewhat,No,4,3,Not Sure,3,Maybe,2,4,Maybe,Slightly above budget,4,4,5,4,4,Occasionally,4,Maybe,3,1,2,
10/7/2025 22:37,University of Kelaniya ,State University,Computer Science & Information Technology,4th Year,Male,24â€“26,Xiaomi,Redmi Note 14 pro+,Within the past 6 months,Yes,Yes,130000,Authorized retail shop,Yes,Yes,5,5,Yes,4,No,4,4,Yes,Slightly above budget,5,5,5,4,5,Never,4,Yes,4,4,5,
10/7/2025 22:40,University of Kelaniya ,State University,Computer Science & Information Technology,4th Year,Male,24â€“26,Xiaomi,Redmi Note 8 pro,More than 2 years ago,Yes,Yes,48000,Authorized retail shop,Yes,Yes,5,3,Yes,4,Maybe,4,4,Yes,Yes,5,5,4,4,4,Occasionally,4,Yes,4,3,3,
10/7/2025 22:54,UCSC,State University,Computer Science & Information Technology,3rd Year,Male,21â€“23,Google Pixel,7 Pro,6â€“12 months ago,No,No,125000,Authorized retail shop,Yes,Yes,5,5,No,3,No,3,5,Yes,Yes,5,5,5,5,5,Rarely,5,Yes,4,4,5,Performance 
10/7/2025 23:18,University of Colombo ,State University,Medical & Health Sciences,3rd Year,Female,24â€“26,Samsung,A03,More than 2 years ago,Not Sure,Not Sure,50000,Authorized retail shop,Somewhat,Yes,4,4,No,1,No,4,5,Yes,Yes,4,4,4,4,4,Rarely,4,Yes,3,4,5,
10/7/2025 23:22,University of Sri Jayewardhanapura ,State University,Computer Science & Information Technology,1st Year,Female,24â€“26,Samsung,A32,More than 2 years ago,No,No,63000,Authorized retail shop,No,No,4,4,No,3,Maybe,3,4,Maybe,Yes,4,4,4,4,4,Occasionally,4,Maybe,4,3,3,
10/7/2025 23:30,University of Kelaniya ,State University,Computer Science & Information Technology,4th Year,Male,24â€“26,Apple,iPhone 13,1â€“2 years ago,No,No,180000,Authorized retail shop,Yes,Yes,4,5,Not Sure,4,Maybe,5,5,Yes,Yes,4,4,4,5,5,Never,5,Maybe,2,4,4,Privacy and device performance are really good 
10/7/2025 23:39,Informatics Institute of Technology,Private University,Computer Science & Information Technology,3rd Year,Male,21â€“23,Samsung,A55,6â€“12 months ago,Yes,Yes,100000,Authorized retail shop,Yes,Yes,5,4,No,3,Maybe,3,4,Yes,Slightly above budget,3,3,4,4,4,Rarely,4,Yes,3,3,3,Price point and specs compare to the other phones in the same budget range 
10/7/2025 23:46,University of Kelaniya,State University,Computer Science & Information Technology,4th Year,Female,24â€“26,Xiaomi,9T,More than 2 years ago,No,Not Sure,50000,Authorized retail shop,Yes,Yes,4,4,No,1,No,4,4,Maybe,Slightly above budget,5,5,4,4,4,Rarely,5,Maybe,4,2,4,Battery is really good. Very durable. Water resistant. 
10/7/2025 23:48,University of Kelaniya,State University,Computer Science & Information Technology,4th Year,Female,24â€“26,Samsung,M02 32GB,More than 2 years ago,No,No,40000,Authorized retail shop,No,No,4,2,No,4,Maybe,4,2,No,Yes,4,3,3,3,2,"Yes, frequently",4,No,3,2,2,
11/7/2025 1:00,South Eastern University ,State University,Engineering & Technology,4th Year,Male,24â€“26,Apple,IPhone 15 Pro,6â€“12 months ago,No,Yes,270000,Second-hand or refurbished,Yes,Yes,5,5,No,1,No,4,5,Yes,Yes,5,5,5,5,4,Never,5,Yes,2,4,4,NA
