Timestamp,Are you interested in contributing your thoughts on gesture-based interaction in mobile applications?,Age group,Gender,Industry,How many hours per day do you use a smartphone?,Have you used gesture-based features on your mobile device?,Which gesture types are you familiar with?  ,Which mobile apps do you frequently use that involve gestures?  ,"On average, how frequently do you use symbolic gestures to perform actions on your phone?  ",Do you think gestures make mobile apps easier to use?  ,Have you ever disabled gesture features due to confusion or difficulty?  ,How long did it take you to learn using gesture-based controls when first introduced?  ,"Would you like to see more advanced gesture-based controls in future apps (e.g., 3D gestures, eye tracking)?  ",What platform do you think supports gestures best?  ,Do you think AI should personalize gesture-based features for each user?  ,Would you be open to gesture-only apps with no visible buttons?,What gesture feature would you like to see in future mobile apps?  ,Any additional comments or suggestions about gesture-based interaction?
7/4/2025 9:26,No,,,,,,,,,,,,,,,,,
7/4/2025 9:29,"Yes, I'm interested",25–34,Male,Information Technology / Software,Less than 1 hour,Yes,"Swipe (Left/Right/Up/Down), Long Press, Drag",Games,Rarely,Agree,No,A few minutes,Yes,Android,Yes,No,eye based gestures,
7/4/2025 9:48,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down)","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Sometimes,Strongly Agree,Yes,A few minutes,Yes,Android,Yes,Only for specific apps,eye tracker,sometimes guestures put me in troubles.. most of the times those are voice controls
7/4/2025 9:54,"Yes, I'm interested",25–34,Female,Healthcare / Medical Technology,1–3 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few hours,Yes,Both equally,No,No,,
7/4/2025 10:16,No,,,,,,,,,,,,,,,,,
7/4/2025 10:17,"Yes, I'm interested",25–34,Female,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Air Gestures (without touching), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Sometimes,Agree,Yes,A few hours,Yes,iOS,Yes,No,,
7/4/2025 10:23,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,No,Instantly,Maybe,Not sure,No,Only for specific apps,,
7/4/2025 13:02,"Yes, I'm interested",25–34,Male,Media / Design / Creative Technology,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Always,Strongly Agree,Yes,A few minutes,Yes,Both equally,No,Only for specific apps,,
7/4/2025 13:50,"Yes, I'm interested",18–24,Female,Student (Any field),More than 5 hours,Not sure,Tap,"Social Media (e.g., Instagram, TikTok)",Always,Neutral,Yes,A few minutes,Maybe,Android,Yes,No,I haven't idea ,No
7/6/2025 12:45,"Yes, I'm interested",18–24,Female,Student (Any field),3–5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Agree,Yes,A few minutes,Yes,Android,Yes,Only for specific apps,,
7/6/2025 13:02,"Yes, I'm interested",35–44,Male,Driving,1–3 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Often,Strongly Agree,Yes,A few hours,Maybe,Not sure,Yes,Only for specific apps,,
7/6/2025 15:58,"Yes, I'm interested",25–34,Male,Information Technology / Software,More than 5 hours,Not sure,Swipe (Left/Right/Up/Down),"Social Media (e.g., Instagram, TikTok), Games",Sometimes,Neutral,No,A few minutes,Yes,Both equally,Yes,Only for specific apps,,
7/6/2025 16:54,"Yes, I'm interested",25–34,Female,Information Technology / Software,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Pinch-to-Zoom, Long Press, Drag","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Sometimes,Agree,Yes,Instantly,Yes,Not sure,Yes,Only for specific apps,,
7/6/2025 18:47,"Yes, I'm interested",18–24,Male,Education / Research,More than 5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag, Voice-activated gestures","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera)",Sometimes,Neutral,Yes,Instantly,No,Not sure,No,Yes,,
7/6/2025 18:50,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Long Press","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Rarely,Agree,No,A few minutes,Maybe,Android,Yes,Yes,Double tap,No
7/6/2025 18:58,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,No,Swipe (Left/Right/Up/Down),"Social Media (e.g., Instagram, TikTok)",Rarely,Agree,Yes,A few minutes,Yes,Android,Yes,Only for specific apps,,
7/6/2025 19:44,"Yes, I'm interested",25–34,Male,Information Technology / Software,3–5 hours,Not sure,"Tap, Double Tap, Swipe (Left/Right/Up/Down)","Social Media (e.g., Instagram, TikTok), Utility Apps (e.g., Gallery, Camera)",Sometimes,Agree,Yes,Still not comfortable,Yes,Not sure,Yes,Yes,,
7/6/2025 19:56,"Yes, I'm interested",18–24,Male,Information Technology / Software,3–5 hours,Yes,"Tap, Double Tap, Swipe (Left/Right/Up/Down), Long Press, Drag","Social Media (e.g., Instagram, TikTok), Games, Utility Apps (e.g., Gallery, Camera), Navigation (e.g., Google Maps)",Sometimes,Agree,No,A few minutes,Yes,Android,Yes,No,Advanced multi touching gesture,No
