Timestamp,Age,Gender,  Province of Residence  ,Highest Level of Education Completed,Occupation ,Which of the following Super-Apps have you used? (Select all that apply),What services do you commonly use on Super-Apps? (Select all that apply),How often do you use Super-Apps?,"On a scale of 1 to 5, how much do you trust the Super-Apps you use?
(1 = No trust at all, 5 = Complete trust)",Do you feel Super-Apps are transparent about how they use your personal data?,Have you ever refused to use or stopped using a Super-App due to privacy or security concerns?,Who do you trust more to handle your data responsibly?,What would make you trust these apps more with your data?,What types of data do you think these apps collect about you?  ,"Are you comfortable with one app having access to multiple aspects of your life (e.g., payments, transport, food, etc.)?",Would data privacy concerns ever make you stop using a Super-App?,"If you have concerns, please briefly describe them:",Are you aware of your rights regarding data privacy under Sri Lankan law?," In your opinion, who should be responsible for protecting your data?",What additional features or actions would increase your confidence in using these Super-Apps?
11/7/2025 13:43,18â€“24,Male,Western Province,Undergraduate degree,Business software systems engineering ,"PickMe, Uber / Uber Eats, HNB SOLO","Ride-hailing, Food delivery, Bill payments, Bank transfers, Online shopping, QR-based payments, Grocery delivery",Several times a week,5,Maybe,No,No preference,"Clearer privacy policies, Option to control what data is shared, Regular updates about security, Independent data audits, Laws/regulations protecting users","Name and contact details, Location/GPS data, Financial/banking information, Device information, Purchase/transaction history, Social media profiles",Maybe,Yes,If they have weak data privacy handling and have reports on data leaks i wouod not share my information ,Maybe,All of the above,A guarantee that will hold any involved party responsible 
11/7/2025 14:02,25â€“34,Male,Southern Province,Undergraduate degree,Analyst job,PickMe,"Ride-hailing, Bill payments, Bank transfers",Several times a week,4,Maybe,Yes,Not sure,"Clearer privacy policies, Option to control what data is shared, Regular updates about security","Name and contact details, Location/GPS data, Purchase/transaction history, Social media profiles",Maybe,Maybe,,Maybe,"The government/regulator, All of the above",
11/7/2025 14:07,25â€“34,Female,Central Province,Undergraduate degree,Undergraduate student,"PickMe, Uber / Uber Eats, Dialog Genie","Ride-hailing, Food delivery, Bill payments, Online shopping",Weekly,4,Maybe,No,No preference,"Clearer privacy policies, Option to control what data is shared, Regular updates about security","Name and contact details, Location/GPS data, Financial/banking information",No,Maybe,-,Yes,All of the above,-
11/7/2025 14:12,18â€“24,Female,Western Province,Undergraduate degree,,PickMe,"Ride-hailing, Food delivery, Bill payments, Bank transfers, Online shopping",Several times a week,4,Yes,Yes,Local companies (Sri Lankan apps),"Clearer privacy policies, Option to control what data is shared, Regular updates about security, Independent data audits, Laws/regulations protecting users","Name and contact details, Location/GPS data, Financial/banking information, Device information, Purchase/transaction history, Social media profiles",Yes,Maybe,,Yes,"The app company, The government/regulator, The user",
11/7/2025 14:13,18â€“24,Female,Western Province,Undergraduate degree,None,PickMe,"Ride-hailing, Bill payments, Bank transfers, Online shopping",Rarely,3,Maybe,No,International companies,Regular updates about security,"Name and contact details, Financial/banking information, Purchase/transaction history",Maybe,No,,Maybe,"The app company, The user",None 
11/7/2025 14:18,18â€“24,Female,Southern Province,Undergraduate degree,Undergraduate ,"PickMe, mCash","Ride-hailing, Bank transfers, Online shopping",Several times a week,4,No,No,Local companies (Sri Lankan apps),Clearer privacy policies,"Name and contact details, Location/GPS data, Financial/banking information, Not sure",Yes,No,,Maybe,All of the above,
11/7/2025 14:22,18â€“24,Male,North Central Province,Undergraduate degree,Intern Data Scientist,"PickMe, Sampath Vishwa","Ride-hailing, Food delivery, Bill payments, Bank transfers",Several times a week,3,No,Yes,No preference,"Clearer privacy policies, Option to control what data is shared, Laws/regulations protecting users","Name and contact details, Location/GPS data, Financial/banking information, Device information, Social media profiles",Maybe,Maybe,,Yes,"The app company, The user, All of the above",
11/7/2025 14:26,25â€“34,Male,Southern Province,Undergraduate degree,,"PickMe, Uber / Uber Eats","Ride-hailing, Food delivery, Bill payments, Bank transfers, Online shopping",Several times a week,3,No,Yes,No preference,Regular updates about security,"Name and contact details, Social media profiles, Not sure",Maybe,Maybe,,No,All of the above,
11/7/2025 14:28,18â€“24,Male,Southern Province,Undergraduate degree,,"PickMe, Uber / Uber Eats, Dialog Genie, mCash","Ride-hailing, Food delivery, Bank transfers",Weekly,3,No,Yes,Local companies (Sri Lankan apps),"Clearer privacy policies, Option to control what data is shared, Regular updates about security, Independent data audits, Laws/regulations protecting users","Name and contact details, Location/GPS data, Device information, Purchase/transaction history",Yes,Yes,,Yes,All of the above,
11/7/2025 15:18,18â€“24,Female,Southern Province,Undergraduate degree,,"PickMe, Uber / Uber Eats","Bill payments, Bank transfers",Several times a week,3,No,Yes,International companies,Independent data audits,Location/GPS data,Maybe,Maybe,,Maybe,C,
